,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
775,17.81053,30.410528000000003,24.712616,34,79,54.25,1018.0,1021.4,1019.8539999999999,893.6674,0.35999998,18.359999,10.935,0.37674650000000004,8.795236000000001,5.332129
776,18.63053,32.50053,25.513445,26,70,48.458332,1014.6,1019.7,1017.3499,917.50635,10.440000999999999,21.96,16.769999,6.0397053,12.633653,9.773082
777,18.660528,34.16053,26.642609999999998,28,71,49.666668,1008.8,1015.0,1012.0085,763.61945,7.92,24.84,17.235,3.0139720000000003,14.068845999999999,9.333335
781,16.820529999999998,28.160528000000003,22.15803,37,88,65.541664,1010.6,1015.2,1012.60834,267.4856,11.159999000000001,24.84,18.059998,1.5984001,14.846872,7.7354970000000005
782,15.300529500000001,26.770528999999996,21.475111,36,83,59.79166800000001,1010.6,1012.1,1011.375,596.7323,4.32,19.8,11.475000999999999,0.79920006,8.172013,3.4971553999999996
783,17.20053,27.62053,22.49553,34,69,52.45833199999999,1011.1,1013.0,1012.0332,604.11456,2.16,14.04,7.9949994,1.0656,7.093447,3.968054
789,16.590528,26.020529,21.156363,46,92,69.083336,1011.8,1015.5,1013.72504,585.1944,3.96,10.08,6.479998999999999,1.1913770000000001,6.287266000000001,3.360074
790,16.750528,28.020528999999996,22.54136,42,87,63.29166800000001,1007.5,1012.9,1010.10016,795.54285,1.4399998999999999,15.119998999999998,7.6949997,0.0,5.334656,2.435013
794,16.240528,24.05053,19.732197,40,79,61.66666800000001,1017.9,1019.3,1018.3418,840.3244,4.68,19.8,10.769999499999999,0.37674650000000004,11.830079,5.4281254
795,14.260529,24.260529000000002,19.120531,43,83,64.708336,1015.7,1019.5,1017.5708599999999,21.292377,5.04,16.56,10.409999000000001,0.9605189000000001,10.393015,4.298612
797,16.080528,27.22053,21.883860000000002,48,85,66.625,1008.9,1016.0,1013.0418,361.0866,3.96,16.56,10.529999,0.5328,9.827957000000001,4.5447955
801,15.890529,22.750528,19.856363,44,69,53.75,1011.6,1016.0,1014.1084,315.71277000000003,0.71999997,26.28,14.474998000000001,1.1913770000000001,8.528962,4.734354
805,12.740528999999999,18.940529,15.455528,47,82,66.125,1018.1,1022.2,1020.46265,635.7787,6.4799995,28.44,17.28,1.9210378000000001,12.554762,8.995689
806,11.540529,22.510529000000002,17.13053,43,70,56.83333199999999,1013.0,1022.0,1017.5249,324.64502000000005,6.4799995,29.519999,16.56,0.84243083,15.109836999999999,7.14728
807,14.650529,22.010529000000002,18.135944,45,76,59.79166800000001,1011.1,1013.8,1012.5041,556.5957,10.440000999999999,41.399998,29.37,3.1968002,21.065825,12.209825
810,13.420529,20.89053,16.887196,39,75,56.66666800000001,1015.7,1019.3,1017.3791,577.7234,2.8799999,16.199999,9.195,0.5956885000000001,6.617238499999999,4.0650606
811,13.730529,21.100529,17.750944,44,68,56.29166800000001,1014.5,1017.0,1015.57916,472.51917000000003,2.16,26.64,13.469998,0.5328,11.4552,4.5521684
813,11.620529,19.31053,15.046779,45,87,66.416664,1018.5,1021.1,1019.6958,669.40063,10.440000999999999,25.199999,14.264998,1.1913770000000001,6.481792400000001,4.427209400000001
