,temp.min,temp.max,temp.mean,hum.min,hum.max,hum.mean,press.min,press.max,press.mean,precipipitation,sunshine,gust.min,gust.max,gust.mean,speed.min,speed.max,speed.mean
223,15.550529500000001,31.45053,23.893446,46,90,67.041664,1006.8,1016.3,1011.6001,3.0,729.3645,3.2399998,19.44,12.794999,3.4734309000000003,12.8093815,8.349696
224,15.280529000000001,22.820529999999998,18.698027,62,97,89.25,1007.9,1013.4,1009.8833,36.2,0.0,1.8,39.96,16.515,1.3319999999999999,19.065754000000002,7.34802
225,11.580528999999999,18.81053,15.491779000000001,52,92,72.583336,1014.3,1020.1,1017.9624,0.2,793.00757,15.84,34.56,22.619997,5.1243067,15.733395000000002,11.772373
228,13.520529000000002,20.780529,17.507611999999998,61,92,76.625,1002.0,1007.1,1004.7209,10.899999000000001,143.88333,3.96,71.28,31.800001,0.84243083,20.40005,9.918199000000001
230,10.980528999999999,21.46053,14.937613500000001,53,93,79.875,999.0,1006.3,1003.3667,16.800001,335.04254,3.6,56.88,22.200003,2.9784424,23.782822,10.761937
231,11.670529,17.530529,14.244279,66,90,80.333336,1005.0,1012.4,1009.29584,7.2,317.99185,16.56,52.56,40.500004,2.9784427000000004,22.391867,16.712454
232,9.310528999999999,16.95053,14.079694,75,94,83.333336,1009.4,1012.4,1010.45844,3.4000003,64.771454,5.3999996,27.0,14.37,3.4631998999999998,12.54628,6.7695003
233,11.640528999999999,17.56053,15.126363000000001,72,90,81.875,1010.4,1012.2,1011.48755,0.5,286.55283,8.64,26.64,17.025002,4.4337797,12.438341000000001,8.4906435
234,12.540529,17.690529,14.508445000000002,55,97,80.208336,1010.1,1013.1,1011.85004,0.6,58.723404,7.2,24.48,15.135001,4.912173,12.340963,7.84351
235,9.430529,16.31053,12.934279,56,93,74.75,1011.6,1014.9,1013.2626300000001,3.8,46.59575,10.799999,36.36,23.714998,5.361196499999999,16.5961,11.637075999999999
236,10.480528999999999,19.97053,15.559279,56,91,71.333336,1008.5,1013.4,1011.0999,0.3,626.2731,0.71999997,12.599999,5.7599998,0.37674650000000004,6.7394466,3.4310892
237,13.330529,20.56053,16.746779999999998,62,78,70.791664,1010.3,1014.5,1012.0498699999999,0.1,141.05673000000002,1.4399998999999999,12.24,6.555,0.37674650000000004,8.466325,4.2678742
238,14.600529000000002,18.730529999999998,16.926361,75,97,83.083336,1014.6,1017.7,1016.3499,0.8000001,75.31915,0.35999998,4.32,2.7150002,0.2664,2.8815567000000004,1.6296051999999999
245,18.62053,25.430529,21.237198,51,83,68.916664,1014.6,1018.2,1016.65405,0.1,185.78723,1.4399998999999999,42.12,14.535,0.84243083,15.773939000000002,7.006593700000001
247,18.000528,22.14053,20.815947,69,84,75.333336,1013.7,1015.9,1015.0374,0.3,170.6149,1.08,14.4,6.6600003,0.79920006,7.6887669999999995,3.8288860000000002
248,16.730529999999998,26.97053,21.204279,52,90,76.958336,1005.4,1014.3,1008.98755,0.6,220.8727,4.32,28.8,10.619999,2.8815567000000004,14.1618595,6.4997735
249,17.080528,21.520529,19.262197,67,91,74.875,1005.3,1010.1,1008.5249,3.5,333.79467999999997,6.12,61.920002000000004,27.419996,2.742756,20.888206,10.391059
